ID,batch,condition
C3e.1,1,cRescue_e
C3fL3.1,1,cRescue_L3_f
C3mL3.1,1,cRescue_L3_m
C4e.1,1,cRNAi_e
C4fL3.1,1,cRNAi_L3_f
C4mL3.1,1,cRNAi_L3_m
C6e.1,1,elavGRFP_e
C6fL3.1,1,elavGRFP_L3_f
C6mL3.1,1,elavGRFP_L3_m
C7e.1,1,cNull_e
C7fL3.1,1,cNull_L3_f
C8fA.1,1,elavGFP_A_f
C8mA.1,1,elavGFP_A_m
C9fA.1,2,elav_A_f
C9mA.1,2,elav_A_m
C10fA.1,2,cRNAi_A_f
C10mA.1,2,cRNAi_A_m
C3e.2,1,cRescue_e
C3fL3.2,1,cRescue_L3_f
C3mL3.2,1,cRescue_L3_m
C4e.2,1,cRNAi_e
C4fL3.2,1,cRNAi_L3_f
C4mL3.2,1,cRNAi_L3_m
C6e.2,1,elavGRFP_e
C6fL3.2,1,elavGRFP_L3_f
C6mL3.2,1,elavGRFP_L3_m
C7e.2,1,cNull_e
C7fL3.2,1,cNull_L3_f
C8fA.2,1,elavGFP_A_f
C8mA.2,1,elavGFP_A_m
C9fA.2,2,elav_A_f
C9mA.2,2,elav_A_m
C10fA.2,2,cRNAi_A_f
C10mA.2,2,cRNAi_A_m
C3e.3,1,cRescue_e
C3fL3.3,1,cRescue_L3_f
C3mL3.3,1,cRescue_L3_m
C4e.3,1,cRNAi_e
C4fL3.3,1,cRNAi_L3_f
C4mL3.3,1,cRNAi_L3_m
C6e.3,1,elavGRFP_e
C6fL3.3,1,elavGRFP_L3_f
C6mL3.3,1,elavGRFP_L3_m
C7e.3,1,cNull_e
C7fL3.3,1,cNull_L3_f
C8fA.3,1,elavGFP_A_f
C8mA.3,1,elavGFP_A_m
C9fA.3,2,elav_A_f
C9mA.3,2,elav_A_m
C10fA.3,2,cRNAi_A_f
C10mA.3,2,cRNAi_A_m
C3e.4,1,cRescue_e
C3fL3.4,1,cRescue_L3_f
C3mL3.4,1,cRescue_L3_m
C4e.4,1,cRNAi_e
C4fL3.4,1,cRNAi_L3_f
C4mL3.4,1,cRNAi_L3_m
C6e.4,1,elavGRFP_e
C6fL3.4,1,elavGRFP_L3_f
C6mL3.4,1,elavGRFP_L3_m
C7e.4,1,cNull_e
C7fL3.4,1,cNull_L3_f
C8fA.4,1,elavGFP_A_f
C8mA.4,1,elavGFP_A_m
C9fA.4,2,elav_A_f
C9mA.4,2,elav_A_m
C10fA.4,2,cRNAi_A_f
C10mA.4,2,cRNAi_A_m
