index,chrom,type_prot,start_chrom,end_chrom,gene_name,gene_biotype,gene_id,transcript_name,transcript_id,tss_id
0,211000022278158,exon,592,1036,CR40502,rRNA,FBgn0085737,CR40502-RA,FBtr0114187,TSS6218
2,211000022278279,exon,11634,12709,CR45932,pseudogene,FBgn0267594,CR45932-RA,FBtr0347033,TSS2195
4,211000022278282,exon,518,2511,CR41590,rRNA,FBgn0085807,CR41590-RA,FBtr0114261,TSS7641
6,211000022278298,exon,648,1614,CR40571,rRNA,FBgn0085746,CR40571-RA,FBtr0114196,TSS3411
8,211000022278307,exon,1,824,CR40582,rRNA,FBgn0085751,CR40582-RA,FBtr0114201,TSS14911
10,211000022278309,exon,1,1110,CR40573,rRNA,FBgn0085748,CR40573-RA,FBtr0114198,TSS22694
12,211000022278436,exon,1551,2815,Su(Ste):CR42418,lincRNA,FBgn0259849,Su(Ste):CR42418-RA,FBtr0300146,TSS17363
14,211000022278449,exon,528,1187,Mst77Y-16Psi,pseudogene,FBgn0085494,Mst77Y-16Psi-RC,FBtr0308947,TSS22191
17,211000022278498,exon,13189,13940,CR42195,rRNA,FBgn0085828,CR42195-RA,FBtr0114286,TSS2772
19,211000022278522,exon,390,2086,CR40561,rRNA,FBgn0085744,CR40561-RA,FBtr0114194,TSS13353
21,211000022278603,exon,1,834,CR40613,rRNA,FBgn0085756,CR40613-RA,FBtr0114206,TSS20719
23,211000022278604,exon,1,265,CR40594,rRNA,FBgn0085752,CR40594-RA,FBtr0114202,TSS20389
25,211000022278664,exon,1,1088,CR40611,rRNA,FBgn0085755,CR40611-RA,FBtr0114205,TSS2158
27,211000022278724,exon,930,2904,CR41583,rRNA,FBgn0085805,CR41583-RA,FBtr0114259,TSS1755
29,211000022278750,exon,1,1134,CR40621,rRNA,FBgn0085757,CR40621-RA,FBtr0114207,TSS17099
31,211000022278760,CDS,562,814,CG40635,protein_coding,FBgn0085506,CG40635-RB,FBtr0302344,TSS12118
37,211000022278875,exon,1,2099,CR41606,rRNA,FBgn0085816,CR41606-RA,FBtr0114274,TSS5752
39,211000022278877,exon,1,549,CR40639,rRNA,FBgn0085758,CR40639-RA,FBtr0114208,TSS19738
41,211000022278878,exon,1,569,CR40640,rRNA,FBgn0085759,CR40640-RA,FBtr0114209,TSS14757
43,211000022278879,exon,1,559,CR40641,rRNA,FBgn0085760,CR40641-RA,FBtr0114210,TSS11076
45,211000022278880,exon,1,540,CR41544,rRNA,FBgn0085799,CR41544-RA,FBtr0114253,TSS12198
47,211000022278985,exon,497,1020,CR41620,rRNA,FBgn0085826,CR41620-RA,FBtr0114284,TSS11887
49,211000022279055,exon,384,1123,CR40668,rRNA,FBgn0085764,CR40668-RA,FBtr0114214,TSS11706
51,211000022279108,exon,1,566,CR40642,rRNA,FBgn0085761,CR40642-RA,FBtr0114211,TSS5477
53,211000022279132,exon,1,1005,CR41619,rRNA,FBgn0085825,CR41619-RA,FBtr0114283,TSS8229
55,211000022279134,exon,1,1012,CR40679,rRNA,FBgn0085766,CR40679-RA,FBtr0114216,TSS19639
57,211000022279165,exon,14,1118,Su(Ste):CR42439,lincRNA,FBgn0259870,Su(Ste):CR42439-RA,FBtr0300167,TSS5687
59,211000022279188,UTR,1449,1478,SteXh:CG42398,protein_coding,FBgn0259817,SteXh:CG42398-RA,FBtr0300105,TSS28
70,211000022279222,exon,1,506,CR40712,rRNA,FBgn0085768,CR40712-RA,FBtr0114218,TSS23045
72,211000022279264,exon,180,614,CR40719,lincRNA,FBgn0085511,CR40719-RB,FBtr0304147,TSS22552
74,211000022279342,exon,1,530,CR40743,rRNA,FBgn0085772,CR40743-RA,FBtr0114222,TSS3042
76,211000022279392,exon,1,1356,Su(Ste):CR42433,lincRNA,FBgn0259864,Su(Ste):CR42433-RA,FBtr0300161,TSS15294
78,211000022279446,exon,1,1266,CR41607,rRNA,FBgn0085817,CR41607-RA,FBtr0114275,TSS7785
80,211000022279528,exon,2,463,CR41621,rRNA,FBgn0085827,CR41621-RA,FBtr0114285,TSS8232
82,211000022279529,exon,1,838,CR40766,rRNA,FBgn0085773,CR40766-RA,FBtr0114223,TSS8032
84,211000022279531,exon,626,1200,CR41613,rRNA,FBgn0085822,CR41613-RA,FBtr0114280,TSS20589
86,211000022279555,exon,51,1080,CR41550,rRNA,FBgn0085803,CR41550-RA,FBtr0114257,TSS15427
88,211000022279681,exon,401,1054,Su(Ste):CR42406,lincRNA,FBgn0259837,Su(Ste):CR42406-RA,FBtr0300134,TSS18613
90,211000022279708,exon,608,1275,CR41535,rRNA,FBgn0085795,CR41535-RA,FBtr0114249,TSS12050
92,211000022280133,exon,220,2161,CR41591,rRNA,FBgn0085808,CR41591-RA,FBtr0114262,TSS17124
94,211000022280328,UTR,7386,7444,CG41561,protein_coding,FBgn0085692,CG41561-RB,FBtr0347010,TSS748
107,211000022280341,exon,1,740,CR45933,pseudogene,FBgn0267595,CR45933-RA,FBtr0347034,TSS22796
109,211000022280347,exon,7,354,CR40947,lincRNA,FBgn0085540,CR40947-RB,FBtr0302352,TSS3206
111,211000022280481,exon,1230,2419,Su(Ste):CR42411,lincRNA,FBgn0259842,Su(Ste):CR42411-RA,FBtr0300141,TSS18575
113,211000022280494,exon,1,1443,Su(Ste):CR42408,lincRNA,FBgn0259839,Su(Ste):CR42408-RA,FBtr0300139,TSS9221
115,211000022280494,exon,2048,3374,Su(Ste):CR42409,lincRNA,FBgn0259840,Su(Ste):CR42409-RA,FBtr0300138,TSS9172
117,211000022280645,exon,1,765,CR40959,rRNA,FBgn0085777,CR40959-RA,FBtr0114228,TSS9120
119,211000022280703,exon,699,1770,CR45934,pseudogene,FBgn0267596,CR45934-RA,FBtr0347035,TSS4584
